epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,22.0958,1.73933,3.2133,1.52089,0.02128,0.42564,0.16696,0.08584,1.39287,3.05924,1.37747,0,0,0
2,42.035,1.65617,3.1206,1.60275,0.02179,0.4359,0.18168,0.09876,1.36414,3.04151,1.34452,1.802e-05,1.802e-05,1.802e-05
3,60.9634,1.73913,3.25359,1.45406,0.02462,0.49231,0.20315,0.11799,1.30731,3.02494,1.29606,3.208e-05,3.208e-05,3.208e-05
4,79.6837,1.58545,3.06392,1.49049,0.02769,0.55385,0.21335,0.13527,1.27263,2.9956,1.26293,4.218e-05,4.218e-05,4.218e-05
5,97.8711,1.50746,2.98337,1.45836,0.03,0.6,0.23119,0.14831,1.24901,2.96378,1.23583,4.832e-05,4.832e-05,4.832e-05
6,118.077,1.46556,2.88751,1.44364,0.03154,0.63077,0.24688,0.15767,1.23812,2.949,1.21764,5.05e-05,5.05e-05,5.05e-05
7,136.5,1.46482,2.87053,1.33204,0.03308,0.66154,0.26867,0.1682,1.22771,2.93419,1.20996,4.872e-05,4.872e-05,4.872e-05
8,154.598,1.5208,2.80129,1.28185,0.03513,0.70256,0.27746,0.17061,1.21372,2.92232,1.19346,4.298e-05,4.298e-05,4.298e-05
9,173.178,1.33286,2.68336,1.35552,0.03667,0.73333,0.26885,0.16941,1.19795,2.91401,1.17896,3.328e-05,3.328e-05,3.328e-05
10,192.158,1.40945,2.68628,1.2375,0.03667,0.73333,0.27768,0.17192,1.19284,2.90819,1.17421,1.962e-05,1.962e-05,1.962e-05
